"sample"	"origin"	"time..min."	"experiment"	"organism"	"c.acceptor...mM."	"acceptor"	"c.donor...mM."	"donor"	"dilution.factor"	"c(NH4+)"	"c(NO2-)"	"c(NO3-)"	"c(NH4+) sample"	"c(NO2-) sample"	"c(NO3-) sample"
"DL21"	"DL5"	16	2	"DSM413"	0.5	"NO3"	1	"acetate"	5	7.64439111688855	0.402767195634631	96.8021319427253	38.2219555844428	2.01383597817315	484.010659713627
"DL21"	"DL5"	16	2	"DSM413"	0.5	"NO3"	1	"acetate"	5	0.834160101289478	1.18638217613174	99.5421416624777	4.17080050644739	5.93191088065871	497.710708312389
"DL22"	"DL6"	16	2	"DSM413"	0.5	"NO3"	1	"acetate"	5	12.1762459788118	0.42103320688333	105.733111535468	60.8812298940589	2.10516603441665	528.665557677338
"DL22"	"DL6"	16	2	"DSM413"	0.5	"NO3"	1	"acetate"	5	9.11351183579294	0.408247002662458	101.492423140382	45.5675591789647	2.04123501331229	507.462115701911
"DL23"	"DL7"	16	2	"DSM413"	1	"NO2"	1	"acetate"	5	24.7758079171437	178.164645673007	15.0771694583016	123.879039585718	890.823228365033	75.3858472915079
"DL23"	"DL7"	16	2	"DSM413"	1	"NO2"	1	"acetate"	5	31.4490887274595	179.245994393782	17.1421219884753	157.245443637298	896.229971968912	85.7106099423765
"DL24"	"DL8"	16	2	"DSM413"	1	"NO2"	1	"acetate"	5	30.7767838714759	179.614973918225	16.3801311882591	153.88391935738	898.074869591125	81.9006559412957
"DL24"	"DL8"	16	2	"DSM413"	1	"NO2"	1	"acetate"	5	-3.21214010535358	182.820670162546	15.4134332152848	-16.0607005267679	914.103350812729	77.0671660764241
"DL25"	"DL9"	16	2	"LMG6923"	0.25	"NO3"	1	"acetate"	5	-4.05874998762039	0.242025617147738	46.1078470537507	-20.293749938102	1.21012808573869	230.539235268753
"DL25"	"DL9"	16	2	"LMG6923"	0.25	"NO3"	1	"acetate"	5	-0.68475862101036	0.240199026982519	44.6406517556462	-3.4237931050518	1.20099513491259	223.203258778231
"DL26"	"DL10"	16	2	"LMG6923"	0.25	"NO3"	1	"acetate"	5	-1.91732428823089	0.115989598855615	45.6888286470112	-9.58662144115443	0.579947994278076	228.444143235056
"DL26"	"DL10"	16	2	"LMG6923"	0.25	"NO3"	1	"acetate"	5	8.57815556657248	0.167134616666034	49.3832741777423	42.8907778328624	0.83567308333017	246.916370888712
"DL27"	"DL11"	16	2	"LMG6923"	0.25	"NO2"	1	"acetate"	5	-2.50248217139161	47.7174057022174	-3.90930494448377	-12.512410856958	238.587028511087	-19.5465247224188
"DL27"	"DL11"	16	2	"LMG6923"	0.25	"NO2"	1	"acetate"	5	18.9864827214819	48.8517294101944	-4.60400945115841	94.9324136074095	244.258647050972	-23.0200472557921
