sample	row	column	rep1	rep2	rep3	rep4
DL89	A	5	0,250800014	0,250099987	0,253199995	0,254299998
DL90	B	5	0,306699991	0,304699987	0,299899995	0,30219999
DL91	C	5	0,338200003	0,341199994	0,336499989	0,334899992
DL92	D	5	0,336299986	0,332800001	0,331800014	0,331400007
DL93	E	5	0,321500003	0,3222	0,320600003	0,321799994
DL94	F	5	0,317999989	0,317400008	0,317699999	0,319499999
DL89	A	6	0,220899999	0,2148	0,216499999	0,221499994
DL90	B	6	0,290100008	0,287200004	0,281800002	0,285100013
DL91	C	6	0,3389	0,341600001	0,336699992	0,336199999
DL92	D	6	0,3037	0,30309999	0,299899995	0,296400011
DL93	E	6	0,3204	0,324000001	0,32249999	0,323599994
DL94	F	6	0,293500006	0,297199994	0,30309999	0,295599997
DL101	A	7	0,228	0,222299993	0,223499998	0,222800002
DL102	B	7	0,29519999	0,296000004	0,29339999	0,292199999
DL103	C	7	0,330799997	0,332800001	0,326299995	0,324099988
DL104	D	7	0,282799989	0,279900014	0,275999993	0,280600011
DL105	E	7	0,324200004	0,325100005	0,322600007	0,324499995
DL106	F	7	0,291599989	0,290899992	0,290600002	0,291099995
DL101	A	8	0,237399995	0,238999993	0,238399997	0,236699998
DL102	B	8	0,297699988	0,297899991	0,29370001	0,298099995
DL103	C	8	0,324600011	0,326000005	0,324699998	0,322100013
DL104	D	8	0,302899987	0,300199986	0,300099999	0,30250001
DL105	E	8	0,328799993	0,329100013	0,326200008	0,327899992
DL106	F	8	0,287	0,282799989	0,285600007	0,286799997
DL113	A	9	0,306199998	0,312999994	0,310200006	0,305599988
DL114	B	9	0,275599986	0,279000014	0,27759999	0,276499987
DL115	C	9	0,352699995	0,353700012	0,34920001	0,350199997
DL116	D	9	0,332300007	0,330900013	0,334899992	0,338200003
DL117	E	9	0,315100014	0,310000002	0,31099999	0,312099993
DL118	F	9	0,329400003	0,3301	0,3292	0,329299986
DL113	A	10	0,289700001	0,289499998	0,287999988	0,291299999
DL114	B	10	0,273799986	0,274100006	0,273600012	0,272500008
DL115	C	10	0,347799987	0,34830001	0,347900003	0,350300014
DL116	D	10	0,333499998	0,336400002	0,33070001	0,33160001
DL117	E	10	0,300700009	0,299299985	0,303499997	0,299899995
DL118	F	10	0,315600008	0,315899998	0,317600012	0,316300005
DL125	A	11	0,264800012	0,262400001	0,263500005	0,261999995
DL126	B	11	0,309300005	0,309799999	0,307399988	0,307000011
DL127	C	11	0,334100008	0,332100004	0,331900001	0,331800014
DL128	D	11	0,266400009	0,264499992	0,26699999	0,265199989
DL129	E	11	0,341800004	0,342200011	0,340799987	0,343800008
DL130	F	11	0,316500008	0,319299996	0,315899998	0,321099997
DL125	A	12	0,265300006	0,264800012	0,264699996	0,263099998
DL126	B	12	0,298700005	0,300999999	0,304500014	0,302899987
DL127	C	12	0,341699988	0,341399997	0,351599991	0,348199993
DL128	D	12	0,351999998	0,353700012	0,354400009	0,352299988
DL129	E	12	0,333200008	0,334300011	0,332800001	0,333999991
DL130	F	12	0,325800002	0,324800014	0,329699993	0,331099987
