origin	sample	time [min]	experiment	organism	c(acceptor) [mM]	acceptor	c(donor) [mM]	donor	dilution factor
DL77	DL83	0	3	DSM413	1	NO2	1,5	acetate	
DL78	DL84	0	3	DSM413	1	NO2	1,5	acetate	
DL79	DL85	0	3	DSM498	1	NO2	1,5	acetate	
DL80	DL86	0	3	DSM498	1	NO2	1,5	acetate	
DL81	DL87	0	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL82	DL88	0	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL77	DL89	12	3	DSM413	1	NO2	1,5	acetate	5
DL78	DL90	12	3	DSM413	1	NO2	1,5	acetate	5
DL79	DL91	12	3	DSM498	1	NO2	1,5	acetate	5
DL80	DL92	12	3	DSM498	1	NO2	1,5	acetate	5
DL81	DL93	12	3	DSM413/DSM498	1	NO2	1,5	acetate	5
DL82	DL94	12	3	DSM413/DSM498	1	NO2	1,5	acetate	5
DL77	DL95	31	3	DSM413	1	NO2	1,5	acetate	
DL78	DL96	31	3	DSM413	1	NO2	1,5	acetate	
DL79	DL97	31	3	DSM498	1	NO2	1,5	acetate	
DL80	DL98	31	3	DSM498	1	NO2	1,5	acetate	
DL81	DL99	31	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL82	DL100	31	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL77	DL101	41	3	DSM413	1	NO2	1,5	acetate	5
DL78	DL102	41	3	DSM413	1	NO2	1,5	acetate	5
DL79	DL103	41	3	DSM498	1	NO2	1,5	acetate	5
DL80	DL104	41	3	DSM498	1	NO2	1,5	acetate	5
DL81	DL105	41	3	DSM413/DSM498	1	NO2	1,5	acetate	5
DL82	DL106	41	3	DSM413/DSM498	1	NO2	1,5	acetate	5
DL77	DL107	61	3	DSM413	1	NO2	1,5	acetate	
DL78	DL108	61	3	DSM413	1	NO2	1,5	acetate	
DL79	DL109	61	3	DSM498	1	NO2	1,5	acetate	
DL80	DL110	61	3	DSM498	1	NO2	1,5	acetate	
DL81	DL111	61	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL82	DL112	61	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL77	DL113	71	3	DSM413	1	NO2	1,5	acetate	2
DL78	DL114	71	3	DSM413	1	NO2	1,5	acetate	2
DL79	DL115	71	3	DSM498	1	NO2	1,5	acetate	2
DL80	DL116	71	3	DSM498	1	NO2	1,5	acetate	2
DL81	DL117	71	3	DSM413/DSM498	1	NO2	1,5	acetate	2
DL82	DL118	71	3	DSM413/DSM498	1	NO2	1,5	acetate	2
DL77	DL119	88	3	DSM413	1	NO2	1,5	acetate	
DL78	DL120	88	3	DSM413	1	NO2	1,5	acetate	
DL79	DL121	88	3	DSM498	1	NO2	1,5	acetate	
DL80	DL122	88	3	DSM498	1	NO2	1,5	acetate	
DL81	DL123	88	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL82	DL124	88	3	DSM413/DSM498	1	NO2	1,5	acetate	
DL77	DL125	96	3	DSM413	1	NO2	1,5	acetate	2
DL78	DL126	96	3	DSM413	1	NO2	1,5	acetate	2
DL79	DL127	96	3	DSM498	1	NO2	1,5	acetate	2
DL80	DL128	96	3	DSM498	1	NO2	1,5	acetate	2
DL81	DL129	96	3	DSM413/DSM498	1	NO2	1,5	acetate	2
DL82	DL130	96	3	DSM413/DSM498	1	NO2	1,5	acetate	2
