sample	row	column	rep1	rep2	rep3	rep4
DL89	A	5	2,682	2,691	2,688	2,691
DL90	B	5	2,480	2,457	2,465	2,468
DL91	C	5	2,653	2,656	2,644	2,653
DL92	D	5	2,581	2,589	2,589	2,568
DL93	E	5	2,787	2,824	2,789	2,779
DL94	F	5	2,522	2,531	2,524	2,523
DL89	A	6	2,812	2,796	2,828	2,837
DL90	B	6	2,486	2,489	2,494	2,497
DL91	C	6	2,668	2,671	2,667	2,647
DL92	D	6	2,512	2,514	2,512	2,508
DL93	E	6	2,781	2,816	2,805	2,791
DL94	F	6	2,493	2,486	2,498	2,488
DL101	A	7	2,075	2,068	2,074	2,073
DL102	B	7	1,923	1,922	1,921	1,935
DL103	C	7	2,658	2,625	2,637	2,615
DL104	D	7	2,606	2,598	2,612	2,620
DL105	E	7	2,600	2,595	2,604	2,605
DL106	F	7	2,269	2,263	2,256	2,269
DL101	A	8	2,165	2,154	2,158	2,163
DL102	B	8	1,942	1,943	1,943	1,962
DL103	C	8	2,642	2,625	2,620	2,627
DL104	D	8	2,568	2,569	2,564	2,567
DL105	E	8	2,520	2,520	2,514	2,519
DL106	F	8	2,280	2,286	2,276	2,287
DL113	A	9	3,310	3,292	3,327	3,311
DL114	B	9	2,910	2,889	2,919	2,893
DL115	C	9	3,515	3,761	3,676	3,659
DL116	D	9	3,583	3,618	3,675	3,558
DL117	E	9	3,469	3,469	3,467	3,395
DL118	F	9	3,495	3,696	3,772	3,539
DL113	A	10	3,279	3,342	3,339	3,307
DL114	B	10	2,885	2,884	2,895	2,913
DL115	C	10	3,500	3,831		3,622
DL116	D	10	3,698	3,549	3,634	3,757
DL117	E	10	3,374	3,488	3,491	3,473
DL118	F	10	3,441	3,611	3,586	3,414
DL125	A	11	2,481	2,462	2,486	2,471
DL126	B	11	1,992	1,981	1,986	1,980
DL127	C	11	3,763	3,810	3,691	3,643
DL128	D	11	3,536	3,620	3,715	3,624
DL129	E	11	3,659	3,710	3,884	3,568
DL130	F	11	3,415	3,495	3,550	3,458
DL125	A	12	2,497	2,487	2,487	2,489
DL126	B	12	1,998	1,988	2,007	2,000
DL127	C	12	3,598	3,728	3,814	3,649
DL128	D	12	3,710	3,892	3,964	3,600
DL129	E	12	3,453	3,600	3,533	3,595
DL130	F	12	3,453	3,458	3,462	3,381
