"sample"	"time..min."	"experiment"	"organism"	"c.acceptor...mM."	"acceptor"	"c.donor...mM."	"donor"	"dilution.factor"	"c(NH4+)"	"c(NO2-)"	"c(NO3-)"	"c(NH4+) sample"	"c(NO2-) sample"	"c(NO3-) sample"
"DL101"	41	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-54.4550777570848	152.743240857122	3.56958993143953	-272.275388785424	763.716204285611	17.8479496571976
"DL101"	41	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-50.2761803639329	159.31971204669	-1.21375937149314	-251.380901819664	796.598560233448	-6.0687968574657
"DL102"	41	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-33.126713074829	141.675979340965	0.650785597230119	-165.633565374145	708.379896704824	3.25392798615059
"DL102"	41	3	"DSM413"	1	"NO2"	1.5	"acetate"	5	-32.3198583459609	143.348282014883	1.10994171589062	-161.599291729805	716.741410074416	5.54970857945309
"DL103"	41	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-23.9468350915067	194.532017787402	9.19925770267215	-119.734175457534	972.660088937008	45.9962885133608
"DL103"	41	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-22.6832737594001	194.926606058776	15.4195008086434	-113.416368797001	974.633030293878	77.0975040432169
"DL104"	41	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-30.9268924467525	189.90969803702	16.111675772033	-154.634462233762	949.5484901851	80.5583788601652
"DL104"	41	3	"DSM498"	1	"NO2"	1.5	"acetate"	5	-37.5035171473379	193.066404208012	9.74346645823496	-187.517585736689	965.332021040061	48.7173322911748
"DL105"	41	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-24.0229546728675	192.465126842109	10.2631791729293	-120.114773364338	962.325634210545	51.3158958646463
"DL105"	41	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-22.8355085833749	186.245664088547	5.82153311310032	-114.177542916875	931.228320442734	29.1076655655016
"DL106"	41	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-34.0858048351043	167.155107721117	5.5868477221435	-170.429024175522	835.775538605585	27.9342386107175
"DL106"	41	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	5	-35.7604076896018	168.507981794399	-0.399779129282775	-178.802038448009	842.539908971997	-1.99889564641388
"DL113"	71	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-28.6966240926974	245.753333395289	12.7510490746021	-57.3932481853947	491.506666790578	25.5020981492043
"DL113"	71	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-34.5196788979191	246.26066117277	-4.0974106231771	-69.0393577958381	492.521322345539	-8.1948212463542
"DL114"	71	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-38.3103740836384	215.144557487274	16.0535398215448	-76.6207481672769	430.289114974548	32.1070796430896
"DL114"	71	3	"DSM413"	1	"NO2"	1.5	"acetate"	2	-39.4293113624599	214.505700286002	21.146460656597	-78.8586227249198	429.011400572003	42.292921313194
"DL115"	71	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-16.570966661098	271.382781116917	-19.3990341819536	-33.141933322196	542.765562233834	-38.7980683639072
"DL115"	71	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-15.6956054812281	271.514310540708	-26.8531157835055	-31.3912109624561	543.028621081417	-53.7062315670111
"DL116"	71	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-21.2979165756854	272.021638318189	-7.72070742899758	-42.5958331513709	544.043276636378	-15.4414148579952
"DL116"	71	3	"DSM498"	1	"NO2"	1.5	"acetate"	2	-20.9858316660628	268.188495110556	-4.80600468430933	-41.9716633321255	536.376990221111	-9.61200936861866
"DL117"	71	3	"DSM413/DSM498"	1	"NO2"	1.5	"acetate"	2	-27.6918607053949	256.275687298596	13.2549395486731	-55.3837214107898	512.551374597193	26.5098790973463
