standard	concentration	row	column	M1_rep1	M1_rep2	M1_rep3	M1_rep4	M2_rep1	M2_rep2	M2_rep3	M2_rep4
NO2	200	A	1	2,621	2,619	2,618	2,597	2,891	2,827	2,826	2,820
NO2	150	B	1	2,008	2,017	2,007	1,996	2,250	2,233	2,240	2,239
NO2	100	C	1	1,467	1,460	1,457	1,461	1,624	1,602	1,603	1,602
NO2	50	D	1	0,811	0,812	0,814	0,813	0,881	0,878	0,876	0,879
NO2	25	E	1	0,467	0,465	0,464	0,465	0,502	0,500	0,498	0,497
NO2	12,5	F	1	0,260	0,263	0,261	0,261	0,300	0,301	0,299	0,299
NO2	6,25	G	1	0,155	0,148	0,149	0,149	0,208	0,208	0,208	0,207
NO2	0	H	1	0,040	0,040	0,040	0,040	0,090	0,090	0,090	0,089
NO2	200	A	2	2,638	2,635	2,638	2,628	2,936	2,948	2,920	2,910
NO2	150	B	2	2,049	2,042	2,038	2,041	2,266	2,264	2,237	2,266
NO2	100	C	2	1,447	1,445	1,444	1,455	1,640	1,643	1,628	1,620
NO2	50	D	2	0,824	0,819	0,821	0,814	0,895	0,894	0,890	0,892
NO2	25	E	2	0,468	0,471	0,466	0,469	0,505	0,503	0,503	0,503
NO2	12,5	F	2	0,259	0,261	0,260	0,260	0,299	0,298	0,299	0,299
NO2	6,25	G	2	0,150	0,147	0,148	0,149	0,207	0,206	0,207	0,207
NO2	0	H	2	0,041	0,041	0,039	0,041	0,089	0,089	0,089	0,089
NO3	200	A	3	0,039	0,040	0,038	0,039	1,518	1,515	1,532	1,524
NO3	150	B	3	0,040	0,040	0,039	0,039	1,199	1,179	1,185	1,192
NO3	100	C	3	0,038	0,040	0,038	0,039	0,789	0,782	0,776	0,768
NO3	50	D	3	0,039	0,038	0,039	0,039	0,466	0,472	0,475	0,474
NO3	25	E	3	0,038	0,040	0,038	0,039	0,269	0,275	0,273	0,275
NO3	12,5	F	3	0,038	0,040	0,038	0,040	0,197	0,196	0,193	0,195
NO3	6,25	G	3	0,038	0,040	0,039	0,039	0,145	0,146	0,145	0,145
NO3	0	H	3	0,041	0,041	0,040	0,040	0,088	0,089	0,089	0,088
NO3	200	A	4	0,038	0,040	0,038	0,038	1,433	1,430	1,445	1,441
NO3	150	B	4	0,039	0,040	0,039	0,039	1,192	1,180	1,193	1,201
NO3	100	C	4	0,039	0,040	0,038	0,039	0,729	0,730	0,734	0,742
NO3	50	D	4	0,039	0,039	0,038	0,040	0,433	0,435	0,428	0,441
NO3	25	E	4	0,038	0,041	0,040	0,039	0,278	0,277	0,270	0,276
NO3	12,5	F	4	0,038	0,041	0,039	0,040	0,193	0,192	0,191	0,193
NO3	6,25	G	4	0,038	0,040	0,039	0,039	0,145	0,145	0,144	0,144
NO3	0	H	4	0,051	0,042	0,041	0,045	0,096	0,098	0,102	0,111
NH4	200	A	3	1,066	1,067	1,048	1,057				
NH4	150	B	3	1,070	1,068	1,053	1,059				
NH4	100	C	3	0,623	0,615	0,618	0,629				
NH4	50	D	3	0,596	0,591	0,590	0,598				
NH4	25	E	3	0,421	0,422	0,425	0,425				
NH4	12,5	F	3	0,348	0,347	0,345	0,350				
NH4	6,25	G	3	0,288	0,286	0,282	0,287				
NH4	0	H	3	0,405	0,407	0,410	0,408				
NH4	200	A	4	0,972	0,980	0,972	0,968				
NH4	150	B	4	1,061	1,071	1,062	1,058				
NH4	100	C	4	0,589	0,580	0,583	0,579				
NH4	50	D	4	0,549	0,545	0,534	0,539				
NH4	25	E	4	0,428	0,436	0,430	0,425				
NH4	12,5	F	4	0,296	0,294	0,290	0,297				
NH4	6,25	G	4	0,429	0,427	0,426	0,428				
NH4	0	H	4	0,398	0,401	0,397	0,398				
