person	sample site	dilution factor	n spots	1 colony / spot	2 colonies / spot	3+ colonies / spot	white	yellow	orange	brown	red	green	pink/violet	beige	black	grey	gliding	filamentous
Barbara	yard slip	16	38	32	6	0	3	1	3	14	0	0	0	5	0	0	0	0
Barbara	yard slip	2	86	26	15	40	0	6	4	20	0	0	0	19	0	0	0	0
Barbara	yard slip	4	83	29	16	37	3	3	11	21	0	0	0	18	0	0	0	0
Barbara	yard slip	8	62	45	15	2	1	4	3	22	0	0	0	19	0	0	0	0
Chyrene	boat	16	79	22	27	30	0	36	0	0	2	0	20	19	0	0	1	0
Chyrene	boat	2	96	9	49	38	0	39	2	0	0	0	8	24	2	2	5	0
Chyrene	boat	4	94	4	27	63	0	44	0	0	2	0	21	25	0	6	6	0
Chyrene	boat	8	93	8	25	60	0	29	1	0	0	0	5	23	0	0	2	0
Dennis	tab	16	16	16	0	0	0	0	1	3	0	0	0	12	0	0	0	0
Dennis	tab	2	79	57	18	4	0	5	12	15	10	0	13	40	0	0	0	11
Dennis	tab	4	41	33	7	1	0	4	1	12	2	0	0	10	0	0	0	7
Dennis	tab	8	34	27	6	1	0	2	11	6	0	0	3	22	0	0	0	5
Isidora	yard slip	16	69	40	23	6	1	4	5	37	0	0	0	37	0	0	0	0
Isidora	yard slip	2	71	25	8	38	5	8	4	2	1	1	1	16	0	0	0	0
Isidora	yard slip	4	93	13	20	60	1	5	3	27	1	0	0	17	0	0	0	0
Isidora	yard slip	8	73	38	15	20	2	2	4	27	0	0	0	31	0	0	0	0
Juliane	boat	16	96	56	35	5	0	37	2	0	0	0	0	52	5	0	2	0
Juliane	boat	2	76	69	7	0	0	14	1	0	5	0	0	53	1	2	0	0
Juliane	boat	4	96	79	14	3	0	23	4	0	0	0	0	66	2	0	1	0
Juliane	boat	8	96	54	40	2	0	31	2	0	0	0	0	56	4	1	2	0
Lisa	tab	16	12	9	3	0	3	0	1	5	1	0	0	5	0	0	0	0
Lisa	tab	2	46	47	13	7	17	5	5	3	32	0	0	30	0	1	0	1
Lisa	tab	4	53	37	14	2	7	3	5	4	28	0	0	14	0	0	0	0
Lisa	tab	8	25	23	2	0	8	0	1	11	3	0	0	4	0	0	0	0
Margot	boat	16	67	61	6	0	0	23	0	1	1	0	14	34	0	0	0	0
Margot	boat	2	96	65	20	11	2	31	0	2	1	0	1	68	0	0	15	0
Margot	boat	4	94	69	19	6	24	33	0	1	2	0	1	48	0	0	9	0
Margot	boat	8	90	46	49	15	2	42	1	0	2	0	5	52	0	0	6	0
Marta	tab	16	22	20	1	1	3	6	1	0	1	0	6	6	0	0	0	0
Marta	tab	2	81	69	11	1	5	8	7	0	8	0	31	30	0	0	0	0
Marta	tab	4	69	55	13	1	7	12	7	0	5	0	20	30	0	0	0	0
Marta	tab	8	45	39	6	0	4	12	4	1	2	0	20	7	0	0	1	0
Mikayla	tab	16	4	4	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Mikayla	tab	2	65	53	12	0	0	5	8	10	0	0	21	27	0	0	0	0
Mikayla	tab	4	35	26	8	1	0	2	1	18	0	0	0	15	0	0	0	0
Mikayla	tab	8	22	21	1	0	0	0	1	13	0	0	0	7	1	0	0	0
Rodrigo	yard slip	16	65	58	7	0	0	20	4	0	1	0	47	0	0	0	0	0
Rodrigo	yard slip	2	95	39	24	32	0	29	56	0	3	0	102	0	0	0	1	0
Rodrigo	yard slip	4	94	36	31	27	0	22	11	0	6	0	144	0	0	0	0	0
Rodrigo	yard slip	8	91	61	23	7	4	27	6	2	4	0	84	0	1	0	0	0
Tamara	yard slip	16	47	28	15	4	0	2	2	32	0	0	3	30	0	0	1	0
Tamara	yard slip	2	93	44	10	39	0	20	17	3	1	0	29	175	1	0	7	0
Tamara	yard slip	4	94	49	24	21	0	11	24	0	3	1	40	87	1	0	5	0
Tamara	yard slip	8	87	32	23	32	1	11	5	0	1	0	64	101	0	0	0	0
