"sample.site"	"dilution.factor"	"n.spots"	"X1.colony...spot"	"X2.colonies...spot"	"X3..colonies...spot"	"white"	"yellow"	"orange"	"brown"	"red"	"green"	"pink.violet"	"beige"	"black"	"grey"	"gliding"	"filamentous"
"1"	"yard slip"	16	0.9125	0.6583	0.2125	0.0417	0.0167	0.1125	0.0583	0.3458	0.0042	0	0.2083	0.3	0	0	0.0042	0
"2"	"yard slip"	8	0.6521	0.3667	0.1583	0.1271	0.0167	0.0917	0.0375	0.1062	0.0104	0	0.3083	0.3146	0.0021	0	0	0
"3"	"yard slip"	4	0.3792	0.1323	0.0948	0.151	0.0042	0.0427	0.051	0.05	0.0104	0.001	0.1917	0.1271	0.001	0	0.0052	0
"4"	"yard slip"	2	0.17969	0.06979	0.02969	0.0776	0.0026	0.03281	0.04219	0.01302	0.0026	0.00052	0.06875	0.10938	0.00052	0	0.00417	0
"5"	"tab"	16	0.225	0.2042	0.0167	0.0042	0.025	0.025	0.0125	0.05	0.0083	0	0.025	0.0958	0	0	0	0
"6"	"tab"	8	0.2625	0.2292	0.0312	0.0021	0.025	0.0292	0.0354	0.0646	0.0104	0	0.0479	0.0833	0.0021	0	0.0021	0.0104
"7"	"tab"	4	0.2062	0.1573	0.0438	0.0052	0.0146	0.0219	0.0146	0.0354	0.0365	0	0.0208	0.0719	0	0	0	0.0073
"8"	"tab"	2	0.14115	0.11771	0.02812	0.00625	0.01146	0.01198	0.01667	0.01458	0.02604	0	0.03385	0.06615	0	0.00052	0	0.00625
"9"	"boat"	16	1.3444	0.7722	0.3778	0.1944	0	0.5333	0.0111	0.0056	0.0167	0	0.1889	0.5833	0.0278	0	0.0167	0
"10"	"boat"	8	0.775	0.3	0.3167	0.2139	0.0056	0.2833	0.0111	0	0.0056	0	0.0278	0.3639	0.0111	0.0028	0.0278	0
"11"	"boat"	4	0.3944	0.2111	0.0833	0.1	0.0333	0.1389	0.0056	0.0014	0.0056	0	0.0306	0.1931	0.0028	0.0083	0.0222	0
"12"	"boat"	2	0.18611	0.09931	0.05278	0.03403	0.00139	0.05833	0.00208	0.00139	0.00417	0	0.00625	0.10069	0.00208	0.00278	0.01389	0
