wine	darkcopper	deepamber	deepcopper	deepgarnet	deeppurple	deepruby	deepsalmon	deepsamon	deepstraw	deeptawny	mediumcopper	mediumgarnet	mediumpurple	mediumruby	mediumstraw	mediumtawny	mediumyellow	palecopper	palegarnet	palegold	palepink	palepurple	paleruby	palestraw	paletawny	paleyellow	plaepurple
1	0	0	1	6	0	1	0	0	0	3	0	3	0	1	0	2	0	0	2	0	0	0	1	0	0	0	0
2	0	0	0	1	1	3	0	0	0	1	0	1	1	6	0	0	0	0	1	0	0	3	3	0	0	0	0
3	0	0	0	1	2	0	0	0	0	0	0	1	8	2	0	0	0	0	0	0	0	2	3	0	0	0	0
4	0	0	0	1	2	2	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	4	3	0	0	0	0
5	0	0	0	0	0	1	0	0	0	0	0	1	1	5	0	0	0	0	0	0	0	1	7	0	0	0	1
6	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	12	0	0	3	0	0	0	0	0	0
7	0	0	0	0	1	3	0	0	0	0	0	1	0	9	0	0	0	0	0	0	0	2	2	0	0	0	0
8	0	0	0	0	7	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	1	2	0	0	0	0
9	1	1	4	0	0	0	6	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0
10	0	0	0	0	0	0	0	0	2	0	0	0	0	0	5	0	0	0	0	1	0	0	0	4	0	6	0
11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	1	0	0	0	0	0	0	6	0	3	0
12	0	0	0	0	0	0	0	0	4	0	0	0	0	0	5	0	1	0	0	0	0	0	0	1	0	7	0
