wine	acidic	aggressive	angular	astringent	austere	bitter	bright	burn	cassis	chewy	chocolate	clean	cliffedge	closed	coarse	complex	concentrated	crisp	delicate	dense	dry	edgy	elegant	extracted	fallenover	finesse	firm	flabby	flat	fresh	fullbodied	grippy	harsh	hot	jammy	juicy	lean	leathery	legs	lightbodied	lively	mellow	minerality	muscular	musky	nerve	opulent	polished	powerful	racy	rich	rigid	round	rubber	short	silky	skinny	smooth	soft	sour	structured	supple	tannin	tart	thick	tight	velvety	voluptuous	zesty	zippy
1	0	0	0	0	0	0	1	2	1	1	0	0	1	0	3	0	0	0	1	0	0	1	0	0	1	0	3	2	2	0	0	2	0	1	2	0	1	1	0	3	0	1	0	1	0	0	0	0	0	0	1	0	0	0	2	1	3	2	1	1	0	0	0	0	0	1	0	0	0	0
2	1	3	1	5	0	3	0	2	0	0	0	0	0	2	1	1	0	0	0	2	0	1	2	0	0	0	3	0	0	0	0	0	3	1	2	0	0	1	0	0	1	0	1	0	0	0	1	0	0	1	0	1	0	0	1	0	0	0	0	0	1	0	1	1	0	0	0	0	0	0
3	1	0	2	2	0	0	0	0	0	0	1	0	0	0	0	2	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	1	1	1	3	0	0	1	0	0	0	0	0	0	0	1	0	0	1	1	2	0	2	0	1	1	1	1	1	0	1	0	0	0	0	0	0	1	0	0
4	0	1	0	2	2	1	1	1	0	1	0	0	0	1	0	1	1	0	3	1	1	0	0	0	0	0	0	0	0	0	0	2	2	0	2	0	0	0	0	1	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	3	2	0	1	0	0	1	1	0	0	0	0	0	0	0
5	0	1	1	1	1	1	1	0	0	1	0	0	0	0	2	0	0	1	0	1	1	0	0	0	0	1	1	0	0	0	0	1	0	1	4	0	0	2	0	0	0	0	0	0	0	0	1	0	1	1	2	2	0	0	1	0	1	0	0	0	0	0	0	0	1	2	0	0	0	2
6	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	2	1	1	0	0	2	0	0	1	0	0	1	1	0	0	0	0	3	0	0	0	0	3	0	0	0	0	0	0	1	1	1	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	2	0	0	0
7	0	1	2	0	0	0	1	2	0	0	0	0	0	0	0	0	1	1	0	0	0	2	1	0	0	1	2	0	0	0	0	0	3	1	1	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	1	1	1	0	0	0	1	2	0	1	2	1	0	0
8	1	0	0	0	0	1	0	4	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	1	0	2	1	0	0	0	0	0	0	0	0	1	0	3	0	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	1	1	0	1	1
9	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	1	0	0	1	0	0	3	0	0	0	0	0	3	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	1	1	3	0	0	0	0	1	0	0	1	0	0	0
10	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	3	0	0	0	2	1	0	0	0	0	1	6	0	1	0	0	1	0	0	0	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	3	2	1	0	0	0	0	0	0	0	1	0	1	0
11	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	1	2	0	0	0	1	0	0	0	0	1	1	0	0	1	0	0	2	0	2	0	0	3	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	1	2	0	1	0	0	1	0	0	0	0	2	2
12	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0	1	0	0	0	1	0	1	0	0	0	0	1	2	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	0	1	1	1	0	0	1	0	0	0	0	2	0
